PointID..G,Latitude,Longitude,UTM_E,UTM_N,DistBouldEdge,DistMussEdge,Area10m,Perim10m,PerAreaRatio10m,RatioLog,Treatment,Black.goby,Brittlestar,Crab,Green.crab,Hermit.crab,Isopod,Baltic.prawn,Lesser.pipefish,Mysid,Crangon.prawn,Rock.gunnel,Sand.goby,Seastar,Shortfin.sculpin,Flatfish,Spider.crab,Spinach.spinach,Straightnosed.pipefish,Three.spined.stickleback,Tiger,Urchin,Periwinkle,Whelk,Richness,Shannon,Simpson,InvSimpson,Evenness,DeltaPlus
4x9-06,55.68771685,9.67964153,542728.5477,6171533.531,89.05691922,106.9096528,43.45605469,142.5412164,3.280123273,1.453981811,3-years-old,1,0,0,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,16,1,7,1.298362181,0.588757396,2.431654676,0.30256145,84.18553723
4x9-07,55.68761471,9.67980268,542738.7903,6171522.263,81.27188029,111.7385421,27.95922852,103.786195,3.712055035,1.550124126,3-years-old,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,27,1,5,0.700039918,0.319559229,1.469635628,0.198553312,87.22445131
4x9-08,55.68751559,9.67997475,542749.7162,6171511.338,75.01712018,117.8008945,3.597900391,21.20029238,5.892406702,1.930420328,3-years-old,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1.088899975,0.58,2.380952381,0.418381562,78.70741886
9felt-01,55.68848727,9.67901947,542688.6006,6171618.887,135.6861048,79.26427473,103.0874023,138.7928156,1.346360588,0.852865442,3-years-old,1,0,0,0,0,0,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0,6,1.400711888,0.684310019,3.167664671,0.381920693,84.66126856
9felt-02,55.68839434,9.67918079,542698.8436,6171608.644,123.2779888,77.69606473,138.1914063,184.98491,1.338613702,0.849558319,3-years-old,0,0,0,1,0,0,7,2,0,1,0,0,2,0,0,0,0,0,0,0,0,14,1,7,1.427177282,0.673469388,3.0625,0.346094802,86.62185829
9felt-03,55.6884024,9.67883335,542676.9923,6171609.327,144.8317709,94.30114957,177.1149902,290.73692,1.641515039,0.971352631,3-years-old,0,1,0,1,0,0,6,1,0,3,0,0,3,0,0,0,0,2,0,0,0,21,6,9,1.661142977,0.722107438,3.598513011,0.328645258,88.67033566
9felt-04,55.68830021,9.67900537,542687.918,6171598.061,132.3186264,92.84215487,168.111084,303.4767526,1.805215607,1.031480401,3-years-old,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,1,1,0,0,0,21,12,7,1.411101497,0.687407407,3.199052133,0.353257527,84.18553723
9felt-05,55.6883082,9.67866879,542666.7494,6171598.743,153.4313382,108.9156887,255.3164063,229.5925644,0.899247204,0.641457599,3-years-old,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,16,0,5,0.965642172,0.480151229,1.923636364,0.298334732,87.22445131
9felt-06,55.68820911,9.67883543,542677.3336,6171587.818,142.0853256,107.5089552,186.2492676,308.1987031,1.654764645,0.976356005,3-years-old,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,26,1,8,1.040881009,0.435918367,1.772793054,0.209632422,84.86024869
B106,55.68754425,9.67896019,542685.9011,6171513.903,134.5732031,148.7491446,87.08642578,134.6512358,1.54617938,0.934593953,Bare,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,7,4,1.193784038,0.666666667,3,0.480898347,82.94575254
B110,55.68716579,9.67826307,542642.4861,6171471.356,189.2129096,209.4842949,20.3293457,24.30201281,1.195415394,0.786371274,Bare,0,0,1,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1.593424237,0.765306122,4.260869565,0.42712548,74.44890263
B112,55.68790576,9.68000263,542751.0433,6171554.777,66.62073925,77.17249267,89.71728516,237.9549611,2.652275541,1.295350409,Bare,0,7,0,1,0,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,8,20,7,1.513281587,0.734693878,3.769230769,0.377557966,92.22972157
B13,55.68879005,9.67852618,542657.2594,6171652.28,176.4404995,82.77736045,46.27075195,103.0712691,2.22756849,1.171729064,Bare,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1.286057337,0.708333333,3.428571429,0.510954494,82.94575254
B130,55.68715823,9.67892588,542684.1646,6171470.922,151.8678847,183.6192776,33.63671875,126.2110401,3.752180499,1.558603565,Bare,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,3,5,1.473502385,0.75,4,0.466001201,87.22445131
B144,55.68769425,9.68065612,542792.3578,6171531.641,27.80655146,91.64445649,100.7250977,222.3937166,2.207927535,1.165625101,Bare,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,4,2,4,1.20479331,0.662721893,2.964912281,0.478052795,91.47287627
B147,55.68742244,9.68013225,542759.7197,6171501.069,71.6920273,125.0395737,39.52075195,99.14014477,2.508559171,1.255205461,Bare,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,14,4,0.955080799,0.507936508,2.032258065,0.366398741,91.47287627
B151,55.68705789,9.67943515,542716.2913,6171460.069,130.3676871,177.6783973,89.12231445,169.3557755,1.900262315,1.064801186,Bare,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,2,4,1.149059697,0.617283951,2.612903226,0.445276247,91.47287627
